## Correctness (213)
Code that is outright wrong or useless.
| Rule name                                           | Source     | Default | Enabled? | Fixable? |
| guard-for-in                         | eslint     |         |          |          |
| id-length                            | eslint     |         |          |          |
| init-declarations                    | eslint     |         |          |          |
| max-params                           | eslint     |         |          |          |
| max-statements                       | eslint     |         |          |          |
| new-cap                              | eslint     |         |          | 🚧       |
| no-continue                          | eslint     |         |          |          |
| no-duplicate-imports                 | eslint     |         |          | 🚧       |
| no-extra-label                       | eslint     |         |          | 🛠️        |
| no-implicit-coercion                 | eslint     |         |          | 🛠️        |
| no-label-var                         | eslint     |         |          |          |
| no-labels                            | eslint     |         |          |          |
| no-lone-blocks                       | eslint     |         |          |          |
| no-magic-numbers                     | eslint     |         |          | 🚧       |
| no-multi-assign                      | eslint     |         |          |          |
| no-multi-str                         | eslint     |         |          |          |
| no-nested-ternary                    | eslint     |         |          |          |
| no-new-func                          | eslint     |         |          |          |
| no-return-assign                     | eslint     |         |          |          |
| no-script-url                        | eslint     |         |          |          |
| no-template-curly-in-string          | eslint     |         |          |          |
| no-ternary                           | eslint     |         |          |          |
| no-useless-computed-key              | eslint     |         |          | 🚧       |
| operator-assignment                  | eslint     |         |          | ⚠️🛠️️       |
| prefer-const                         | eslint     |         | ✅       | 🛠️        |
| prefer-destructuring                 | eslint     |         |          | 🛠️        |
| prefer-exponentiation-operator       | eslint     |         |          | 🛠️        |
| prefer-numeric-literals              | eslint     |         |          | 🛠️        |
| prefer-object-has-own                | eslint     |         |          | 🛠️        |
| prefer-object-spread                 | eslint     |         |          | 🛠️        |
| prefer-promise-reject-errors         | eslint     |         |          |          |
| prefer-rest-params                   | eslint     |         |          |          |
| prefer-spread                        | eslint     |         |          |          |
| prefer-template                      | eslint     |         |          | 🚧       |
| sort-imports                         | eslint     |         |          | 🛠️        |
| sort-keys                            | eslint     |         |          | 🛠️        |
| vars-on-top                          | eslint     |         |          |          |
| yoda                                 | eslint     |         |          | 🛠️        |
| consistent-type-specifier-style      | import     |         |          | 🛠️        |
| exports-last                         | import     |         |          |          |
| first                                | import     |         |          | 🚧       |
| group-exports                        | import     |         |          |          |
| no-anonymous-default-export          | import     |         |          |          |
| no-duplicates                        | import     |         |          |          |
| no-mutable-exports                   | import     |         |          |          |
| no-named-default                     | import     |         |          |          |
| no-named-export                      | import     |         |          |          |
| no-namespace                         | import     |         |          | 🚧       |
| no-nodejs-modules                    | import     |         |          |          |
| prefer-default-export                | import     |         |          |          |
| consistent-test-it                   | jest       |         |          | 🛠️        |
| max-expects                          | jest       |         |          |          |
| max-nested-describe                  | jest       |         |          |          |
| no-alias-methods                     | jest       |         |          | 🛠️        |
| no-confusing-set-timeout             | jest       |         |          |          |
| no-deprecated-functions              | jest       |         |          | 🛠️        |
| no-done-callback                     | jest       |         |          | 🚧       |
| no-duplicate-hooks                   | jest       |         |          |          |
| no-hooks                             | jest       |         |          |          |
| no-identical-title                   | jest       |         |          |          |
| no-interpolation-in-snapshots        | jest       |         |          |          |
| no-jasmine-globals                   | jest       |         |          | 🛠️        |
| no-large-snapshots                   | jest       |         |          |          |
| no-mocks-import                      | jest       |         |          |          |
| no-restricted-jest-methods           | jest       |         |          |          |
| no-restricted-matchers               | jest       |         |          |          |
| no-test-prefixes                     | jest       |         |          | 🛠️        |
| no-test-return-statement             | jest       |         |          |          |
| no-unneeded-async-expect-function    | jest       |         |          | 🛠️        |
| no-untyped-mock-factory              | jest       |         |          | 🛠️        |
| padding-around-test-blocks           | jest       |         |          | 🛠️        |
| prefer-called-with                   | jest       |         |          | 🛠️        |
| prefer-comparison-matcher            | jest       |         |          | 🛠️        |
| prefer-each                          | jest       |         |          |          |
| prefer-equality-matcher              | jest       |         |          | 🚧       |
| prefer-expect-resolves               | jest       |         |          | 🛠️        |
| prefer-hooks-in-order                | jest       |         |          |          |
| prefer-hooks-on-top                  | jest       |         |          |          |
| prefer-jest-mocked                   | jest       |         |          | 🛠️        |
| prefer-lowercase-title               | jest       |         |          | 🛠️        |
| prefer-mock-promise-shorthand        | jest       |         |          | 🛠️        |
| prefer-mock-return-shorthand         | jest       |         |          | 🛠️        |
| prefer-spy-on                        | jest       |         |          | 💡       |
| prefer-strict-equal                  | jest       |         |          | 🛠️        |
| prefer-to-be                         | jest       |         |          | 🛠️        |
| prefer-to-contain                    | jest       |         |          | 🛠️        |
| prefer-to-have-been-called           | jest       |         |          | 🛠️        |
| prefer-to-have-been-called-times     | jest       |         |          | 🛠️        |
| prefer-to-have-length                | jest       |         |          | 🛠️        |
| prefer-todo                          | jest       |         |          | 🛠️        |
| require-hook                         | jest       |         |          |          |
| require-top-level-describe           | jest       |         |          |          |
| global-require                       | node       |         |          |          |
| no-exports-assign                    | node       |         |          | 🛠️        |
| avoid-new                            | promise    |         |          |          |
| no-nesting                           | promise    |         |          | 🚧       |
| no-return-wrap                       | promise    |         |          | 🚧       |
| param-names                          | promise    |         |          |          |
| prefer-await-to-callbacks            | promise    |         |          |          |
| prefer-await-to-then                 | promise    |         |          |          |
| prefer-catch                         | promise    |         |          | 🚧       |
| jsx-boolean-value                    | react      |         |          | 🛠️        |
| jsx-curly-brace-presence             | react      |         |          | 🛠️        |
| jsx-fragments                        | react      |         |          | 🛠️        |
| jsx-handler-names                    | react      |         |          |          |
| jsx-max-depth                        | react      |         |          |          |
| jsx-pascal-case                      | react      |         |          |          |
| jsx-props-no-spreading               | react      |         |          |          |
| no-redundant-should-component-update | react      |         |          |          |
| no-set-state                         | react      |         |          |          |
| prefer-es6-class                     | react      |         |          |          |
| self-closing-comp                    | react      |         |          | 🛠️        |
| state-in-constructor                 | react      |         |          |          |
| adjacent-overload-signatures         | typescript |         |          |          |
| array-type                           | typescript |         |          | 🛠️        |
| ban-tslint-comment                   | typescript |         |          | 🛠️        |
| class-literal-property-style         | typescript |         |          | 🚧       |
| consistent-generic-constructors      | typescript |         |          | 🛠️        |
| consistent-indexed-object-style      | typescript |         |          | 🛠️        |
| consistent-type-assertions           | typescript |         |          | 🛠️💡      |
| consistent-type-definitions          | typescript |         |          | ⚠️🛠️️       |
| consistent-type-imports              | typescript |         | ✅       | 🛠️        |
| no-empty-interface                   | typescript |         |          | 🚧       |
| no-inferrable-types                  | typescript |         |          | 💡       |
| parameter-properties                 | typescript |         |          |          |
| prefer-for-of                        | typescript |         |          | 🚧       |
| prefer-function-type                 | typescript |         |          | 🛠️        |
| prefer-reduce-type-parameter         | typescript |         |          | 🛠️        |
| prefer-return-this-type              | typescript |         |          | 🛠️        |
| unified-signatures                   | typescript |         |          |          |
| catch-error-name                     | unicorn    |         |          | 🛠️        |
| consistent-date-clone                | unicorn    |         |          | 🛠️        |
| consistent-existence-index-check     | unicorn    |         |          | 🛠️        |
| empty-brace-spaces                   | unicorn    |         |          | 🛠️        |
| error-message                        | unicorn    |         |          |          |
| filename-case                        | unicorn    |         |          |          |
| no-array-method-this-argument        | unicorn    |         |          | 🚧       |
| no-await-expression-member           | unicorn    |         |          | ⚠️🛠️️       |
| no-console-spaces                    | unicorn    |         |          | 🛠️        |
| no-nested-ternary                    | unicorn    |         |          | 🛠️        |
| no-null                              | unicorn    |         |          | ⚠️🛠️️       |
| no-unreadable-array-destructuring    | unicorn    |         |          | 🚧       |
| no-useless-collection-argument       | unicorn    |         |          | 💡       |
| no-zero-fractions                    | unicorn    |         |          | 🛠️        |
| number-literal-case                  | unicorn    |         |          | 🛠️        |
| numeric-separators-style             | unicorn    |         |          | 🛠️        |
| prefer-array-index-of                | unicorn    |         |          | 🚧       |
| prefer-bigint-literals               | unicorn    |         |          | 🛠️        |
| prefer-class-fields                  | unicorn    |         |          | 🛠️💡      |
| prefer-classlist-toggle              | unicorn    |         |          | 🛠️        |
| prefer-default-parameters            | unicorn    |         |          | 🚧       |
| prefer-dom-node-text-content         | unicorn    |         |          | 🛠️        |
| prefer-global-this                   | unicorn    |         |          | 💡       |
| prefer-includes                      | unicorn    |         |          | 💡       |
| prefer-keyboard-event-key            | unicorn    |         |          | 🛠️        |
| prefer-logical-operator-over-ternary | unicorn    |         |          | 💡       |
| prefer-modern-dom-apis               | unicorn    |         |          | 💡       |
| prefer-negative-index                | unicorn    |         |          | 🛠️        |
| prefer-object-from-entries           | unicorn    |         |          | 🚧       |
| prefer-optional-catch-binding        | unicorn    |         |          | 🛠️        |
| prefer-reflect-apply                 | unicorn    |         |          | 💡       |
| prefer-response-static-json          | unicorn    |         |          | 💡       |
| prefer-spread                        | unicorn    |         |          | 🛠️        |
| prefer-string-raw                    | unicorn    |         |          | 🛠️        |
| prefer-string-trim-start-end         | unicorn    |         |          | 🛠️        |
| prefer-structured-clone              | unicorn    |         |          | 💡       |
| prefer-ternary                       | unicorn    |         |          | 🚧       |
| relative-url-style                   | unicorn    |         |          | 🛠️💡      |
| require-array-join-separator         | unicorn    |         |          | 🛠️        |
| require-module-attributes            | unicorn    |         |          | 💡       |
| switch-case-braces                   | unicorn    |         |          | 🛠️        |
| text-encoding-identifier-case        | unicorn    |         |          | 🛠️        |
| throw-new-error                      | unicorn    |         |          | 🛠️        |
| consistent-test-filename             | vitest     |         |          |          |
| consistent-vitest-vi                 | vitest     |         |          | 🛠️        |
| no-import-node-test                  | vitest     |         |          | 💡       |
| no-importing-vitest-globals          | vitest     |         |          | 🛠️        |
| prefer-called-once                   | vitest     |         |          | 🛠️        |
| prefer-called-times                  | vitest     |         |          | 🛠️        |
| prefer-describe-function-title       | vitest     |         |          | 🛠️        |
| prefer-expect-type-of                | vitest     |         |          | 🛠️        |
| prefer-import-in-mock                | vitest     |         |          | 🛠️        |
| prefer-to-be-falsy                   | vitest     |         |          | 🛠️        |
| prefer-to-be-object                  | vitest     |         |          | 🛠️        |
| prefer-to-be-truthy                  | vitest     |         |          | 🛠️        |
| define-emits-declaration             | vue        |         |          | 🚧       |
| define-props-declaration             | vue        |         |          |          |
| define-props-destructuring           | vue        |         |          |          |
| require-typed-ref                    | vue        |         |          |          |

## Nursery (23)
New lints that are still under development.
| Rule name                       | Source     | Default | Enabled? | Fixable? |
| ------------------------------- | ---------- | ------- | -------- | -------- |
| getter-return                   | eslint     |         |          |          |
| no-undef                        | eslint     |         |          |          |
| no-unreachable                  | eslint     |         |          |          |
| export                          | import     |         |          |          |
| named                           | import     |         |          |          |
| branches-sharing-code           | oxc        |         |          |          |
| no-return-in-finally            | promise    |         |          |          |
| require-render-return           | react      |         |          |          |
| consistent-return               | typescript |         |          |          |
| consistent-type-exports         | typescript |         |          |          |
| dot-notation                    | typescript |         |          |          |
| no-unnecessary-condition        | typescript |         |          |          |
| no-unnecessary-qualifier        | typescript |         |          |          |
| no-unnecessary-type-conversion  | typescript |         |          |          |
| no-unnecessary-type-parameters  | typescript |         |          |          |
| no-useless-default-assignment   | typescript |         |          |          |
| prefer-find                     | typescript |         |          |          |
| prefer-optional-chain           | typescript |         |          | ⚠️🛠️️💡     |
| prefer-readonly                 | typescript |         |          |          |
| prefer-readonly-parameter-types | typescript |         |          |          |
| prefer-regexp-exec              | typescript |         |          |          |
| prefer-string-starts-ends-with  | typescript | ✅      |          |          |
| strict-void-return              | typescript |         |          |          |

Default: 107
Total: 699
